time;nb_etapes_parcours;nb_collisions
1,005406;0;0
2,012689;0;0
3,021659;0;0
4,022902;1;0
5,023351;2;0
6,029031;2;0
7,102894;2;0
8,107079;2;0
9,110782;2;0
10,11125;2;0
