time;nb_etapes_parcours;nb_collisions
1,217471;0;0
2,23006;0;0
3,264893;0;0
4,283796;0;0
5,288048;0;0
6,302388;0;1
7,303368;0;2
8,318525;0;2
9,331874;0;2
